1088,P1080,from fictional universe,subject's fictional entity is in the object narrative. See also P1441 and P1445
1089,P1081,Human Development Index,HDI value of a country
1090,P1082,population,number of people inhabiting the place; number of people of subject
217,P1083,capacity,"number of people allowed for a venue, vehicle"
1091,P1084,EUL editions,identifier for a book (edition) in the Egyptian union catalog
218,P1085,LibraryThing work identifier,LibraryThing (LT) control number
668,P1086,atomic number,number of protons found in the nucleus of the atom
669,P1087,ELO rating,"quantitative measure of one's game-playing ability, particularly in chess"
219,P1088,Mohs' hardness,mesure empirique de la dureté d'un matériau
918,P109,signature,image of a person's signature
220,P1090,redshift,the redshift measure of an astronomical object
1530,P1092,total produced,quantity of item produced
1092,P1093,gross tonnage,unitless index related to a ship's overall internal volume
221,P1096,orbital eccentricity,amount of the deviation of an orbit from a perfect circle
1093,P1097,g-factor,characteristic property of any elementary particle (Landé factor)
670,P1098,number of speakers,number of people who speak a language
222,P1099,number of masts,number of masts a ship has
1327,P110,illustrator,illustrator of a book
1531,P1100,number of cylinders,number of cylinders in a piston engine or compressor
671,P1101,floors above ground,above ground floor count of a building (ground floor included)
223,P1102,flattening,measure of the compression of an ellipsoid of revolution
1094,P1103,number of platforms,number of tracks serving a platform in a railway station
1095,P1104,number of pages,number of pages in an edition of a written work
1532,P1106,sandbox-quantity,property to be used for testing the quantity datatype
1533,P1107,proportion,"to be used as a qualifier, value must be between 0 and 1"
1096,P1108,electronegativity,prupietà chimica chi' esprimi a tinnenza di n'atumu ad attrarri elittroni versu d'iḍḍu
672,P1109,refractive index,refractive index of a substance with wavelength and temperature as qualifiers
919,P111,measured physical quantity,physical property measured by a unit
1097,P1110,attendance,"number of people (spectators, ticket holders) at an event or exhibition"
1098,P1111,votes received,number of votes for a candidate in an election
1099,P1112,Pokédex number,a Pokémon identification number
673,P1113,series length,the number of items in a series
1534,P1114,quantity,number of instances of this subject
674,P1115,ATVK ID,"identifier for each of the Latvian administrative units, i.e. municipality, parish, city under state jurisdiction and city under municipality jurisdiction. Based on the {{Q|15621843}}."
224,P1116,Kallikratis geographical code,identifier for administrative regions of Greece (starting 2010)
1535,P1117,pKa,acid dissociation constant
1328,P112,founder,"founder or co-founder of the organization, religion or place"
225,P1120,number of deaths,number of people who died as a result of an event or cause
226,P1121,oxidation state,carrica iputetica chi' n'atumu ntôn cumpostu avirria si' tutti i so ligami fussiru cumplitamenti jonici
1100,P1122,spin quantum number,a quantum number that parameterizes the intrinsic angular momentum of a particle
227,P1123,parity,property of elementary particle
228,P1124,TEU,"capacity measured in \"twenty-foot equivalent unit\""
1536,P1125,Gini coefficient,measure of statistical dispersion intended to represent the income distribution of a nation's residents
675,P1126,isospin quantum number,characteristic property of any elementary particle
1101,P1127,isospin z-component,characteristic property of any elementary particle
676,P1128,employees,total number of employees of a company at a given point in time
1537,P1129,national team caps,total number of games officially played by a sportsman for national team
1329,P113,airline hub,airport that serves as a hub for an airline
229,P1132,number of participants,"number of participants of an event, e.g. people or groups of people that take part in the event"
1102,P1133,DGO4 identifier,identifier per Direction générale opérationelle (Wallonia)
1538,P1135,nomenclatural status,"the status of a scientific name, according to the relevant rules of nomenclature"
230,P1136,solved by,person that solved a scientific question
1539,P1137,fossil found in this unit,fossils that are found in this stratigraphic unit
677,P1138,Kunstindeks Danmark,identificatiecode van het Deense agentschap voor cultureel erfgoed
1103,P1139,floors below ground,the total number of below ground floors of the building
12,P114,airline alliance,the alliance the airline belongs to
678,P1140,EHAK id,Estonian Administrative and Settlement Classification
1540,P1141,number of processor cores,number of independent actual processing units
1104,P1142,political ideology,political ideology of this organization
679,P1143,BN (Argentine) editions,catalogue number for books (editions) in the National Library of the Argentine Republic
231,P1144,LCOC LCCN (bibliographic),Library of Congress ID for bibliographic records (for books etc only; for authors use P244)
1541,P1145,Lagrangian point,libration point of an object (default: object-sun-earth)
1105,P1146,IAAF ID,identifier for athletes in International Association of Athletics Federations (IAAF) database and website
232,P1148,neutron number,number of neutrons of an isotope
1542,P1149,Library of Congress Classification,subject classification identifier used in the Library of Congress Classification system
470,P115,home venue,home stadium or venue of a sports team or applicable performing arts organization
1543,P1150,Regensburg Classification,identifier used for this class in the Regensburg Classification system
1544,P1151,topic's main Wikimedia portal,Wikimedia portal associated with this topic
233,P1152,IPTC Media Topic,topic classification following the IPTC Media Topics vocabulary
1545,P1153,Scopus Author ID,identifier for an author assigned in Scopus bibliographic database
234,P1154,Scopus EID,unique academic work identifier assigned in Scopus bibliographic database
680,P1155,Scopus Affiliation ID,identifier for an organisation in author affiliations per Scopus
235,P1156,Scopus Source ID,"Scopus uses a unique identifier for each source/publication venue (journal, conference, etc)"
236,P1157,US Congress Bio identifier,identifier for a person on the Biographical Directory of the United States Congress
237,P1158,location of landing,location where the craft landed
681,P1159,CODEN,CODEN bibliographic code
1106,P1160,ISO 4 abbreviation,ISO 4 bibliographic code/abbreviation established in 1972
1107,P1161,Z39.5 abbreviation,Z39.5 bibliographic code/abbreviation established in 1969 by National Information Standards Organization and used widely in the US
238,P1162,Bluebook abbreviation,Bluebook citation style includes abbreviations
239,P1163,Internet media type,IANA-registered identifier for a file type
1546,P1164,cardinality of the group,number of elements in a finite group
682,P1165,home world,home world/planet of a fictional race or character
1547,P1167,USB ID,vendor ID used in USB devices
240,P1168,municipality code (Denmark),identifier for municipalities in Denmark
471,P117,chemical structure,image of a representation of the structure for a chemical compound
1108,P1170,transmitted signal,type of signal transmitted by a device
1548,P1171,approximation algorithm,method used to approximate a number
1109,P1172,Geokod,identifier for historical administrative division of Sweden (1862-1951)
241,P1174,Visitors per year,number of people visiting a location each year
920,P118,league,league in which the team plays or has played in
683,P1181,numeric value,numerical value of a number (e.g. 1) or a constant (e.g. pi)
1549,P1182,LIBRIS editions,identifier for the items in the libris-catalogue about specific books
684,P1183,Gewässerkennzahl,a number to hydrographically order rivers and streams
242,P1184,handle,"Handle System identifier, which is a superset of the DOI"
1550,P1185,Rodovid ID,identifer for a person on rodovid.org
685,P1186,MEP directory identifier,identifier for a past or present MEP in a directory of all members of the European Parliament
243,P1187,Dharma Drum Buddhist College person ID,identifier for a person in DDBC
244,P1188,Dharma Drum Buddhist College place ID,identifier for a place in DDBC
1110,P1189,Chinese Library Classification,identifier used for this class in the CLC
921,P119,place of burial,"location of grave, resting place, place of ash-scattering, etc, (e.g. town/city or cemetery) for a person. There may be several places: e.g. re-burials, cenotaphs, parts of body buried separately."
245,P1190,Universal Decimal Classification,type of library classification
246,P1191,first performance,date a work was first performed
1551,P1192,connecting service,service stopping at a station
1111,P1193,prevalence,portion of a population with a given disease
1112,P1194,received signal,signals detected by a machine
247,P1195,file extension,"identifier for a file format (e.g. txt for a text file) used as suffix to the file name, don't use dot at start"
1113,P1196,manner of death,"circumstances of a person's death; one of: natural causes, accident, suicide, homicide, pending investigation or special 'unknown value'.  Use 'cause of death' (P509) for more immediate or underlying causes and events, e.g. heart attack, car accident"
686,P1198,unemployment rate,portion of a workforce population that is not employed
248,P1199,mode of inheritance,the manner in which a particular genetic trait or disorder is passed from one generation to the next
249,P1200,bodies of water basin category,the Wikimedia category associated with the basin of a bodies of water
1114,P1201,space tug,"spacecraft vehicle designed to move the payload from a reference orbit to the target orbit, or direct it to an interplanetary trajectory"
1552,P1202,carries scientific instrument,"scientific instruments carried by a vessel, satellite, or device that are not required for propelling or navigating"
1553,P1203,Finnish municipality number,identifier for a municipality in Finnland
1115,P1204,Wikimedia portal's main topic,primary topic of this Wikimedia portal
687,P1207,NUKAT (WarsawU) authorities,identifier for authority control in the Center of Warsaw University Library catalog
250,P1208,ISMN,International Standard Music Number
251,P1209,CN,"identifier for a newspaper or magazine issued by State Administration of Press, Publication, Radio, Film and Television of the People’s Republic of China"
922,P121,item operated,object used by the subject
688,P1210,supercharger,supercharger or turbocharger used by an engine
1116,P1211,fuel system,fuel system that an engine uses
1554,P1212,Atlas ID,identifier in the Atlas database of the Louvre Museum
689,P1213,NLC authorities,identifier for a person per National Library of China
690,P1214,Riksdagen person-id,identifier at data.riksdagen.se
1555,P1215,apparent magnitude,apparent magnitude of an astronomic object
1556,P1216,National Heritage List for England number,number on the National Heritage List for England
691,P1217,Internet Broadway Database venue ID,identifier for a theatre or other venue in the IBDB
692,P1218,Internet Broadway Database production ID,identifier for a specific run of a show
1557,P1219,Internet Broadway Database show ID,identifier for a play or other work (which may have had 1 or more productions)
472,P122,basic form of government,the subject's government
1558,P1220,Internet Broadway Database person ID,identifier for personnel on Broadway
252,P1221,compressor type,sorta di cumprissuri adupiratu di stu muturi airunauticu
1117,P1222,NARA person ID,identifier for a person
253,P1223,NARA organization ID,identifier for an organization
1559,P1224,NARA geographic ID,identifier for a geographic object
254,P1225,NARA topical subject ID,identifier
693,P1226,NARA specific records type ID,identifier
694,P1227,astronomical filter,passband used to isolate particular sections of the electromagnetic spectrum
695,P1229,Openpolis ID,"identifier in Openpolis, a database of Italian politicians"
1330,P123,publisher,"organization responsible for publishing books, periodicals or software"
696,P1230,JSTOR journal code,identifier for a journal in JSTOR
1560,P1231,NARA catalog record ID,identifier for catalog records
697,P1232,Linguist list code,identifier for a language per Linguist list
1118,P1233,ISFDB author ID,identifier for a person in the Internet Speculative Fiction Database
698,P1234,ISFDB publication ID,identifier for an edition of a publication in the Internet Speculative Fiction Database
699,P1235,ISFDB series ID,"identifier for a series, periodical or franchise in the Internet Speculative Fiction Database"
1119,P1236,Parsons code,identifier for melodic contours of music
255,P1237,Box Office Mojo film ID,identifier for a movie at the website Box Office Mojo
256,P1238,Swedish Football Association ID,identifier for Swedish soccer players
700,P1239,ISFDB publisher ID,identifier for a publisher in the Internet Speculative Fiction Database
257,P1240,Danish Bibliometric Research Indicator level,丹麥針對學術期刊所製作的研究重要性評等
701,P1241,Swiss Football Association Club Number,identifier
1120,P1242,Theatricalia play ID,"identifier for a theatrical work, in the Theatricalia database - http://theatricalia.com/"
702,P1243,International Standard Recording Code,identifier
258,P1244,phone number (URL),number dialed into a telephone to communicate with a specific entity
1121,P1245,OmegaWiki Defined Meaning,"\"Defined Meaning\" on the site OmegaWiki"
703,P1246,patent number,identifier for a patented invention
1122,P1247,compression ratio,compression ratio of an engine
1561,P1248,KulturNav-id,"identifier for people, places, events, etc. used by some  Nordic museums"
1562,P1249,time of earliest written record,first time a subject was mentioned in writing
1563,P1250,Danish Bibliometric Research Indicator (BFI) SNO/CNO,serial & conference identifier
259,P1251,ABS ASCL code,Australian Standard Classification of Languages ID for languages
260,P1252,AUSTLANG code,identifier for a language in the Australian Indigenous Languages Database
261,P1253,BCU Ecrivainsvd,identifier in the database of writers from the canton of Vaud
1123,P1254,Slovenska biografija ID,"identifier in the \"Slovenska biografija\" reference project"
1124,P1255,Helveticarchives ID,identifier in the Swiss National Library's archive database
262,P1256,Iconclass notation,"Iconclass code that corresponds with an artistic theme or concept. For artworks, use P1257 (depicts Iconclass notation)."
704,P1257,depicts Iconclass notation,"Iconclass code depicted in an artwork. For linking Iconclass codes with their corresponding artistic themes or concepts, use P1256 (Iconclass notation)."
263,P1258,Rotten Tomatoes identifier,"identifier on Rotten Tomatoes: must use prefix \"m/\" for movies, \"tv/\" for TV series (remove /s number on end unless the item is a specific season), \"celebrity/\" for celebrities, \"critic/\" for film critics, \"source-\" for review sources"
1125,P1259,coordinates of the point of view,"point from which the scene depicted by the element is seen (element can be a photo, a painting, etc.)"
1331,P126,maintained by,organization in charge of keeping the subject (for instance an infrastructure) in functioning order
705,P1260,Cultural heritage database in Sweden,identifier
264,P1261,Rundata,"database about runestones, mainly in Sweden, but stones in all of Europe, Greenland and U.S. can be found here"
265,P1262,RAÄ-nummer,identifier from database of the cultural heritage in Sweden
1126,P1263,NNDB people ID,"identifier in the Notable Names Database, a biographical database: only for people entries"
706,P1264,valid in period,time period when a statement is valid
1564,P1265,AlloCiné movie ID,identifier
266,P1266,AlloCiné person ID,identifier for a person
267,P1267,AlloCiné serie ID,identifier
1127,P1268,represents organisation,organization that an entity represents
1128,P1269,facet of,the main aspect of this topic
473,P127,owned by,owner of the subject
1129,P1270,Norway Database for Statistics on Higher education periodical ID,identifier for academic journals
707,P1271,Norway Database for Statistics on Higher education publisher ID,identifier
708,P1272,Norway Import Service and Registration Authority periodical code,identifiant norvégien
1130,P1273,CANTIC,identifier for authority control managed by the National Library of Catalonia (BNC)
709,P1274,ISFDB title ID,identifier for a title in the Internet Speculative Fiction Database
268,P1275,Norway Import Service and Registration Authority publisher code,identifier
1131,P1276,Dictionnaire du Jura ID,identifier in the encyclopedia Dictionnaire du Jura
269,P1277,Jufo ID,identifier in a Finnish Publication Forum
710,P1278,Legal Entity Identifier,identifier for a legally distinct entity per ISO 17442
270,P1279,inflation rate,percent change in CPI in one year
474,P128,regulates (molecular biology),process regulated by a protein in molecular biology
711,P1280,CONOR identifier,identifier in the CONOR.SI database
1565,P1281,WOEID,identifier for a location on Yahoo! GeoPlanet and Flickr
271,P1282,OpenStreetMap tag or key,OpenStreetMap tagging schema (a Key:key or Tag:key=value) for classes of things
712,P1283,filmography,list of films a person has contributed to
713,P1284,Munzinger IBA,identifier on the Munzinger Archiv
714,P1285,Munzinger Sport,identifer on the Munzinger Archiv
1132,P1286,Munzinger Pop identifier,identifer on the Munzinger Archiv
272,P1287,KDG Komponisten der Gegenwart,identifier on the Munzinger Archiv
715,P1288,KLG Kritisches Lexikon der Gegenwartsliteratur,identifier on the Munzinger Archiv
1133,P1289,KLfG Kritisches Lexikon der fremdsprachigen Gegenwartsliteratur,identifiant
13,P129,physically interacts with,physical entity that the subject interacts with
1566,P1290,godparent,person who is the godparent of a given person
1134,P1291,Association Authors of Switzerland ID,identifier in a Swiss database of modern writers
716,P1292,DNB editions,identifier in the German National Library catalogue (see also authority data P227)
1135,P1293,Royal Aero Club Aviator's Certificate ID,identifier
717,P1294,WWF ecoregion code,identifier for ecoregions
1567,P1295,emissivity,ability of a substance to radiate thermal energy from its surface
273,P1296,Gran Enciclopèdia Catalana ID,identifier for an item in the Gran Enciclopèdia Catalana
1136,P1297,IRS Employer Identification Number,number given to businesses by the United States Internal Revenue Service
1568,P1299,depicted by,object depicting this subject
1569,P1300,bibcode,bibcode for a journal
274,P1301,number of elevators,number of elevators in a building
1570,P1302,primary destinations,major cities that a road serves
718,P1303,instrument,instrument that a person plays
1137,P1304,central bank,country's central bank
1138,P1305,Skyscraper Center ID,identifier for a building as used on the CTBUH's www.skyscrapercenter.com
719,P1307,Swiss parliament identifier,identifier for a member of the Swiss Parliament since 1848
275,P1308,officeholder,person who holds an office
1139,P1309,EGAXA identifier,identifier in Bibliotheca Alexandrina
923,P131,located in the administrative territorial entity,the item is located on the territory of the following administrative entity
276,P1310,statement disputed by,entity that disputes a given statement
720,P1311,lostbridges.org ID,identifier from database of covered bridges in the United States and Canada
1140,P1312,has facet polytope,"facet of a polytope, in the next-lower dimension"
1571,P1313,office held by head of government,political office that is fulfilled by the head of the government of this item
277,P1314,number of spans,"number of spans a bridge has. To enter the number manually add \"+-0\" after the number"
721,P1315,People Australia identifier,identifier for people per National Library of Australia (see also P409 for the older Libraries Australia identifier)
278,P1316,SMDB ID,identifier in the Swedish Media Database
722,P1317,floruit,"Date when the person was known to be active or alive, when birth or death not documented (contrast with P585 and P746). Use P2031 and P2032 for the start date and end date if they are active for a period"
723,P1318,proved by,person who proved something
279,P1319,earliest date,earliest date at which an event could have happened
1572,P1320,OpenCorporates ID,"identifier for a corporation, in the OpenCorporates database"
280,P1321,place of origin (Switzerland),lieu d'origine of a Swiss national. Not be confused with place of birth or place of residence
1573,P1322,dual to,"dual of a polytope, graph or curve"
1141,P1323,Terminologia Anatomica 98,Terminologia Anatomica (1998 edition) human anatomical terminology identifier
724,P1324,source code repository,public source code repository
725,P1325,external data available at,site where external data on a subject can be found
1142,P1326,latest date,latest possible time that something could have occurred
281,P1327,professional or sports partner,person a professional or athlete works with
282,P1329,phone number,property for phone number with String datatype until the URL datatype will support phone numbers (P1244)
1574,P1330,MusicBrainz instrument ID,identifier for an instrument on the music encyclopedia MusicBrainz
283,P1331,PACE member ID,identifier for a member of the Parliamentary Assembly of the Council of Europe
1575,P1332,coordinate of northernmost point,northernmost point of a location. For an administrative entity this includes offshore islands
1143,P1333,coordinate of southernmost point,southernmost point of a place. For administrative entities this includes offshore islands
284,P1334,coordinate of easternmost point,easternmost point of a location
285,P1335,coordinate of westernmost point,westernmost point of a location
286,P1336,territory claimed by,administrative divisions that claim control of a given area
726,P1338,EPSG ID,identifier for geodetic datum per European Petroleum Survey Group Geodesy
727,P1339,number of injured,number of people with non-fatal injuries in an event
1332,P134,has dialect,dialects of this language (a single language may be linked to many dialects)
287,P1340,eye color,color of the irises of a person's eyes
728,P1341,Italian Chamber of Deputies ID,identifier for incumbent and former deputies from the Italian Chamber of Deputies
729,P1342,number of members,number of seats/members in an assembly (legislative house or similar)
288,P1343,described by source,dictionary or encyclopaedia where this item is described
289,P1344,participant of,"event a person or an organization was a participant in, inverse of P710 or P1923"
1576,P1345,number of victims,number of victims of a serial killer
1144,P1346,winner,winner of an event
730,P1347,military casualty classification,"allowed values:  killed in action (Q210392), missing in action (Q2344557), died of wounds (Q16861372), prisoner of war (Q179637), killed in flight accident (Q16861407), others used in military casualty classification"
290,P1348,AlgaeBase URL,URL for the website AlgaeBase
1577,P1349,ploidy,ploidy of a genome
1333,P135,movement,"literary, artistic or philosophical movement associated with this person or work"
1145,P1350,number of matches played,matches or games a player or a team played during an event. Also a total number of matches a player officially appeared in during the whole career.
1146,P1351,number of points/goals scored,goals / points scored in a match or an event used as qualifier to the participant. Use P1358 for league points.
1147,P1352,ranking,person's or team's ranking in a sport event
291,P1353,original spelling,original spelling of a scientific name
292,P1354,shown with features,features depicted in a work
731,P1355,wins,"number of sporting matches, games or events won"
1148,P1356,losses,"number of sporting matches, games or events lost"
732,P1357,matches/games drawn/tied,number of matches or games drawn or tied in a league or an event
1578,P1358,points for,number of points in a league table or decathlon. (Use P1351 for goals/points in a match)
733,P1359,number of points/goals conceded,points conceded or goals against (use in league table items)
1334,P136,genre,genre of a creative work or genre in which an artist works
734,P1360,Monte Carlo Particle Number,number given to each elementary particle
1579,P1362,Theaterlexikon der Schweiz online ID,identifier in the online edition of the Theater Dictionary of Switzerland
1149,P1363,points/goal scored by,person who scored a point or goal in a game
293,P1364,ITTF ID,identifier for a table tennis player per ITTF
294,P1365,replaces,"Person, state or other item who was replaced in an office, position, etc.. Use P167 (structure replaced by) for structures. Use P155 (follows) if the previous item was not replaced and predecessor and successor are identical."
735,P1366,replaced by,"Person or state or item who replaces another in an office, position, etc. Use P156 (followed by) if the item is not replaced, e.g. books in a series"
295,P1367,BBC Your Paintings artist identifier,authority control identifier for artists (creators of publicly owned oil paintings in the UK)
736,P1368,LNB identifier,identifier assigned by the National Library of Latvia
737,P1369,Iranian National Heritage registration number,identifier in the Iranian National Heritage database
475,P137,operator,"person or organization that operates the equipment, facility, or service"
738,P1370,IHSI ID,identifier for an administrative territorial entity in Haiti
739,P1371,ASI Monument ID,identifier assigned to monuments catalogued by the Archaeological Survey of India
1150,P1372,binding of software library,software library in another programming language provided by the subject software binding
1580,P1373,daily ridership,"number of people riding a transportation line or network, or using a station in a given day"
1151,P1375,NSK identifier,identifier for an item in the National and University Library in Zagreb (including leading zeroes)
1581,P1376,capital of,"country, state, department, canton or other administrative division of which the municipality is the governmental seat"
1152,P1377,MTR station code,identifier for a station in Hong Kong issued by MTR
740,P1378,China railway TMIS station code,identifier for a railway station used in China railway system
476,P138,named after,"entity or event that inspired the subject's name, or namesake (in at least one language)"
296,P1380,uglybridges.com ID,identifier from database based on the National Bridge Inventory. Lists every U.S. bridge over 20 feet (6 meters) long
297,P1381,bridgehunter.com ID,identifier from a database of historic bridges
1153,P1382,coincident with,"an object that is partially part of, but not fully part of (P361), the subject"
1582,P1383,contains settlement,settlement which an administrative division contains
741,P1385,Enciclopédia Açoriana ID,identifier for an item in Enciclopédia Açoriana
1154,P1386,Japanese High School Code,identifier for a high school in Japan
742,P1387,political alignment,political position within the political spectrum
1583,P1388,German regional key,identifier for municipalities and unincorporated areas in Germany
298,P1389,product certification,"certification for a product, qualify with P1001 (\"applies to jurisdiction\") if needed"
299,P1390,match time of score (minutes),minutes into a game when a goal is scored
300,P1391,Index Fungorum ID,identifier in Index Fungorum (see Q1860469)
743,P1392,ComicBookDB ID,identifier in a comic book database
1584,P1393,proxy,person authorized to act for another
1155,P1394,Glottolog code,identifier for a language in the Glottolog database
744,P1395,National Cancer Institute ID,identifier at www.cancer.gov
745,P1396,Linguasphere code,identifier for a language from Linguasphere Observatory
1156,P1397,State Catalogue of Geographical Names identifier (Russia),identifier in State Catalogue of Geographical Names (Russia)
746,P1398,replaced by structure,building/structure which replaced the subject building or structure at the same location
1157,P1399,convicted of,crime a person was convicted of
1310,P14,highway marker,graphic representing the highway
14,P140,religion,religion of a person or organization (MUST be claimed by the subject or documented by historical sources)
1158,P1400,FCC Facility ID,U.S. ID number for broadcast stations
1585,P1401,bug tracking system,"bug report page where bugs, issues, and feature requests are filed for a particular software"
747,P1402,Foundational Model of Anatomy ID,identifier for human anatomical terminology
301,P1403,original combination,for animals: the combination (binomen or trinomen) where the species-group name used in this taxon name was first published
1586,P1404,World Glacier Inventory ID,identifier in the World Glacier Inventory database
302,P1406,script directionality,direction that a writing system goes in
303,P1407,MusicBrainz series ID,identifier for a series per the MusicBrainz open music encyclopedia
304,P1408,licensed to broadcast to,place that a radio/TV station is licensed/required to broadcast to
305,P1409,Cycling Archives Cyclist ID,identifier in the Cycling Archives
477,P141,IUCN conservation status,conservation status assigned by the International Union for Conservation of Nature
748,P1410,number of seats in legislature,number of seats a political party has in a given legislature
749,P1411,nominated for,"award nomination received by a person, organisation or creative work (inspired from \"award received\" (Property:P166))"
306,P1412,languages spoken or published,language(s) that a person speaks or writes. Can include native languages
1587,P1413,SFDb ID,"identifier in a swedish film database. Type (like \"PERSON/\" or \"MOVIE/\") followed by ID Nr"
1588,P1414,GUI toolkit or framework,framework or toolkit a program uses to display the graphical user interface
1159,P1415,Oxford Biography Index Number,"identifier for authority control used by Oxford University Press for online biographical resources, predominantly the Oxford Dictionary of National Biography"
1589,P1416,affiliation,organization that a person is affiliated with
